,ds,region,percent_ill
342,2018-05-22,12086,1.30461743299592
343,2018-05-23,12086,1.18054581074822
344,2018-05-24,12086,0.957442893017034
345,2018-05-25,12086,0.768628963312519
346,2018-05-26,12086,0.96022465714539
972,2018-05-27,12086,1.16161245862576
347,2018-05-28,12086,1.23030659694536
348,2018-05-29,12086,1.3447359289389
349,2018-05-30,12086,1.17308139284156
350,2018-05-31,12086,1.22228936685395
351,2018-06-01,12086,1.10101863482835
973,2018-06-02,12086,1.071584896249
352,2018-06-03,12086,0.846358268196551
353,2018-06-04,12086,0.893439827789797
354,2018-06-05,12086,1.15649465835186
974,2018-06-06,12086,0.748885618756105
355,2018-06-07,12086,0.835256762669908
975,2018-06-08,12086,1.05867023352629
976,2018-06-09,12086,1.1105465398933
977,2018-06-10,12086,1.45676597441313
356,2018-06-11,12086,1.23559783874702
357,2018-06-12,12086,1.02931487669285
358,2018-06-13,12086,0.911848055586072
359,2018-06-14,12086,1.35688984179929
360,2018-06-15,12086,1.07522126197038
361,2018-06-16,12086,1.14366749216302
978,2018-06-17,12086,1.05644555519554
362,2018-06-18,12086,0.990804410895164
363,2018-06-19,12086,1.09403125367185
979,2018-06-20,12086,1.3360416834838
364,2018-06-21,12086,1.42108134458324
365,2018-06-22,12086,1.20254065455388
366,2018-06-23,12086,1.04825675477459
367,2018-06-24,12086,0.934738511069475
368,2018-06-25,12086,0.799980441893057
980,2018-06-26,12086,0.97340334291102
981,2018-06-27,12086,0.927059995295099
982,2018-06-28,12086,0.678991887970356
983,2018-06-29,12086,0.469609026440138
984,2018-06-30,12086,0.373218871678518
985,2018-07-01,12086,0.389585125300495
369,2018-07-02,12086,0.364871551314228
370,2018-07-03,12086,0.356009409332922
986,2018-07-04,12086,0.063655864785799
987,2018-07-05,12086,0.0
988,2018-07-06,12086,0.0
989,2018-07-07,12086,0.338643119117647
371,2018-07-08,12086,0.443419543965009
990,2018-07-09,12086,0.413467642883855
372,2018-07-10,12086,0.482328188008406
373,2018-07-11,12086,0.561374900668633
374,2018-07-12,12086,0.588859428504337
375,2018-07-13,12086,0.551958652752846
376,2018-07-14,12086,0.604913819531948
991,2018-07-15,12086,0.401613612758722
992,2018-07-16,12086,0.405621464758325
993,2018-07-17,12086,0.530878053410534
377,2018-07-18,12086,0.861855859915205
378,2018-07-19,12086,1.07256603745611
379,2018-07-20,12086,1.30087599103515
994,2018-07-21,12086,1.32773931612245
995,2018-07-22,12086,1.40156075959233
380,2018-07-23,12086,1.37037214692399
381,2018-07-24,12086,1.31863418093447
996,2018-07-25,12086,1.14817414944894
997,2018-07-26,12086,0.889213389717443
382,2018-07-27,12086,0.718138234753842
998,2018-07-28,12086,0.345192803188375
999,2018-07-29,12086,0.222619431482742
1000,2018-07-30,12086,0.0716665350634633
383,2018-07-31,12086,0.314193902869059
384,2018-08-01,12086,0.284123481454194
1001,2018-08-02,12086,0.372926690277604
1002,2018-08-03,12086,0.342959988440673
1003,2018-08-04,12086,0.47915906820963
385,2018-08-05,12086,0.531337543975716
1004,2018-08-06,12086,0.305810381660263
386,2018-08-07,12086,0.351736445893992
1005,2018-08-08,12086,0.308171507293439
387,2018-08-09,12086,0.452612383400749
1006,2018-08-10,12086,0.412878285303947
1007,2018-08-11,12086,0.452363698109116
388,2018-08-12,12086,1.01754995781015
1008,2018-08-13,12086,0.941189958849062
1009,2018-08-14,12086,0.981410655298248
1010,2018-08-15,12086,1.0405829310433
389,2018-08-16,12086,0.791175777003497
1011,2018-08-17,12086,0.8416435739021
1012,2018-08-18,12086,0.949261862511547
390,2018-08-19,12086,0.809281725432882
1013,2018-08-20,12086,0.539269661837648
391,2018-08-21,12086,0.788355461312743
392,2018-08-22,12086,1.02374495936721
1014,2018-08-23,12086,1.43521893390747
1015,2018-08-24,12086,1.87458689093045
1016,2018-08-25,12086,1.69116799782637
393,2018-08-26,12086,1.76531299138239
394,2018-08-27,12086,1.83019333827898
1017,2018-08-28,12086,1.89769635053165
1018,2018-08-29,12086,1.74147673406645
1019,2018-08-30,12086,1.63867389032165
